日付け,3m,6m,2y,5y,10y,30y
８月 2010,0.142,0.192,0.422,1.169,2.47,3.52
９月 2010,0.162,0.191,0.34,1.466,2.512,3.687
10月 2010,0.119,0.17,0.461,2.008,2.603,3.984
11月 2010,0.167,0.203,0.605,1.946,2.797,4.112
12月 2010,0.127,0.188,0.57,2.137,3.288,4.336
１月 2011,0.152,0.167,0.688,2.272,3.374,4.573
２月 2011,0.142,0.172,0.833,1.972,3.422,4.491
３月 2011,0.094,0.178,0.609,1.698,3.47,4.51
４月2011,0.043,0.102,0.468,1.764,3.29,4.398
５月2011,0.053,0.114,0.458,1.351,3.059,4.221
６月 2011,0.02,0.102,0.359,0.97,3.16,4.377
７月 2011,0.099,0.163,0.203,0.955,2.792,4.124
８月 2011,0.015,0.048,0.247,0.966,2.234,3.611
９月 2011,0.025,0.056,0.25,0.957,1.917,2.914
10月 2011,-0.01,0.053,0.258,0.833,2.116,3.131
11月 2011,0.008,0.055,0.247,0.706,2.071,3.055
12月 2011,0.02,0.061,0.219,0.864,1.876,2.891
１月 2012,0.056,0.08,0.297,1.04,1.795,2.938
２月 2012,0.081,0.132,0.336,0.813,1.974,3.082
３月 2012,0.071,0.137,0.262,0.657,2.214,3.343
４月2012,0.097,0.147,0.266,0.717,1.919,3.114
５月2012,0.071,0.127,0.305,0.586,1.563,2.641
６月 2012,0.086,0.157,0.215,0.588,1.643,2.754
７月 2012,0.106,0.14,0.226,0.625,1.47,2.55
８月 2012,0.091,0.132,0.234,0.721,1.548,2.668
９月 2012,0.094,0.134,0.285,0.619,1.633,2.823
10月 2012,0.114,0.156,0.25,0.725,1.694,2.859
11月 2012,0.081,0.132,0.251,0.88,1.616,2.81
12月 2012,0.046,0.114,0.266,0.766,1.756,2.952
１月 2013,0.079,0.111,0.238,0.769,1.985,3.168
２月 2013,0.106,0.127,0.25,0.678,1.881,3.09
３月 2013,0.071,0.106,0.211,1.024,1.852,3.104
４月2013,0.051,0.081,0.297,1.396,1.673,2.88
５月2013,0.038,0.068,0.359,1.386,2.132,3.278
６月 2013,0.035,0.096,0.313,1.646,2.487,3.499
７月 2013,0.038,0.071,0.403,1.385,2.588,3.646
８月 2013,0.025,0.051,0.321,1.326,2.789,3.716
９月 2013,0.015,0.03,0.309,1.372,2.615,3.693
